,City,⭐️ Total score,👍 Quality of life score,👶 Family score,💵 Cost,📡 Internet,😝 Fun,⛅️ Temperature (now),💦 Humidity (now),💨 Air quality (now),💨 Air quality (annual),👌 Safety,👮‍♀️ Lack of crime*,🤝 Lack of racism*,🎓 Education level*,💰 Income level*,🙊 English speaking*,😤 People density,🚶 Walkability,✌️ Peace (no pol. conflict),🚦 Traffic safety*,🏥 Hospitals*,😄 Happiness*,🍸 Nightlife,📶 Free WiFi in city,🖥 Places to work from,❄️ A/C or heating,😁 Friendly to foreigners,🗯 Freedom of speech*,👩 Female friendly,🌈 LGBTQ+ friendly,🎅 Startup Score
968,Ranchi,"⭐️ Total score
2.84/5 (Rank #969)
199 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
😝 Cheap: $866 / mo","📡 Internet
🙂 Good: 8Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Nice: 20°C (feels 20°C)","💦 Humidity (now)
😊 Comfy: 90%","💨 Air quality (now)
😷 Unhealthy for some: 136 US AQI",None,"👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Okay","🎓 Education level*
Low","💰 Income level*
Very low: $142 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Okay","😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Okay","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
969,Xiamen,"⭐️ Total score
2.84/5 (Rank #970)
210 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $2,018 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 22°C (feels 22°C)","💦 Humidity (now)
😊 Comfy: 71%","💨 Air quality (now)
🌱 Great: 50 US AQI","💨 Air quality (annual)
🌱 Good: 71 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
970,Dongying,"⭐️ Total score
2.84/5 (Rank #971)
206 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,352 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥶 Too cold: 13°C (feels 12°C)","💦 Humidity (now)
💦 Damp: 77%","💨 Air quality (now)
😷 Unhealthy for some: 102 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 125 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Okay","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Bad"
971,Dammam,"⭐️ Total score
2.84/5 (Rank #972)
230 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $2,067 / mo","📡 Internet
🙂 Good: 8Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 26°C (feels 27°C)","💦 Humidity (now)
😊 Comfy: 54%","💨 Air quality (now)
🌱 Great: 36 US AQI","💨 Air quality (annual)
🌱 Great: 20 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Low: $1,651 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Bad","😄 Happiness*
Good","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Great","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Bad","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
972,Kyoto,"⭐️ Total score
2.84/5 (Rank #973)
224 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🙂 Okay: $2,883 / mo","📡 Internet
🏎 Fast: 29Mbps (avg)","😝 Fun
Great","⛅️ Temperature (now)
🌞 Nice: 18°C (feels 18°C)","💦 Humidity (now)
😊 Comfy: 77%","💨 Air quality (now)
🌱 Good: 63 US AQI","💨 Air quality (annual)
🌱 Great: 43 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Good","🎓 Education level*
High","💰 Income level*
High: $3,220 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Okay","🍸 Nightlife
Good","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Bad"
973,Tripoli,"⭐️ Total score
2.84/5 (Rank #974)
216 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,271 / mo","📡 Internet
😡 Slow: 3Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 22°C (feels 22°C)","💦 Humidity (now)
😊 Comfy: 59%","💨 Air quality (now)
🌱 Great: 17 US AQI",None,"👌 Safety
🧨 Conflict / political instability*","👮‍♀️ Lack of crime*
Good",None,"🎓 Education level*
Mediocre","💰 Income level*
Very low: $569 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Bad","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Bad","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
974,Gwangju,"⭐️ Total score
2.84/5 (Rank #975)
219 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
😙 Affordable: $1,895 / mo","📡 Internet
🏎 Fast: 25Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 A bit cold: 15°C (feels 15°C)","💦 Humidity (now)
💦 Damp: 79%","💨 Air quality (now)
😷 Unhealthy for some: 117 US AQI","💨 Air quality (annual)
😐 Moderate: 79 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
High","💰 Income level*
Mediocre: $2,315 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay","🏥 Hospitals*
Good","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Great","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
975,Cheltenham,"⭐️ Total score
2.84/5 (Rank #976)
199 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Too expensive: $4,215 / mo","📡 Internet
🏎 Fast: 26Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 Too cold: 11°C (feels 11°C)","💦 Humidity (now)
💦 Damp: 90%","💨 Air quality (now)
🌱 Good: 59 US AQI","💨 Air quality (annual)
🌱 Great: 39 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
High","💰 Income level*
High: $3,354 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Good","🍸 Nightlife
Okay","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Good","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
976,Foshan,"⭐️ Total score
2.84/5 (Rank #977)
211 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,385 / mo","📡 Internet
😡 Slow: 2Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🌞 Perfect: 23°C (feels 23°C)","💦 Humidity (now)
😊 Comfy: 63%","💨 Air quality (now)
😐 Moderate: 76 US AQI","💨 Air quality (annual)
😐 Moderate: 98 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Bad","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
977,Nanjing,"⭐️ Total score
2.84/5 (Rank #978)
213 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,551 / mo","📡 Internet
😡 Slow: 2Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Nice: 19°C (feels 19°C)","💦 Humidity (now)
😊 Comfy: 64%","💨 Air quality (now)
😐 Moderate: 97 US AQI","💨 Air quality (annual)
😐 Moderate: 99 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 5k ppl/km² (14x14m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Good","😄 Happiness*
Okay","🍸 Nightlife
Good","📶 Free WiFi in city
Okay","🖥 Places to work from
Okay","❄️ A/C or heating
Good","😁 Friendly to foreigners
Good",🗯 Freedom of speech*,"👩 Female friendly
Good","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Bad"
978,Texel,"⭐️ Total score
2.84/5 (Rank #979)
208 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Too expensive: $4,322 / mo","📡 Internet
🚀 Super fast: 55Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🥶 Too cold: 8°C (feels 5°C)","💦 Humidity (now)
💦 Damp: 90%","💨 Air quality (now)
🌱 Great: 22 US AQI","💨 Air quality (annual)
🌱 Great: 25 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
High","💰 Income level*
High: $3,813 / mo","🙊 English speaking*
Great","😤 People density
🧘‍♀️ Sprawling: 0k ppl/km² (109x109m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Great","🍸 Nightlife
Good","📶 Free WiFi in city
Okay","🖥 Places to work from
Bad","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Great","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
979,Beijing,"⭐️ Total score
2.84/5 (Rank #980)
252 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
😙 Affordable: $2,460 / mo","📡 Internet
😡 Slow: 2Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 Too cold: 10°C (feels 10°C)","💦 Humidity (now)
😊 Comfy: 54%","💨 Air quality (now)
😷 Unhealthy for some: 102 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 101 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad","😤 People density
🤨 Busy: 12k ppl/km² (9x9m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Great","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
980,Doha,"⭐️ Total score
2.84/5 (Rank #981)
227 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🙂 Okay: $2,930 / mo","📡 Internet
🏎 Fast: 12Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Perfect: 27°C (feels 29°C)","💦 Humidity (now)
😊 Comfy: 67%","💨 Air quality (now)
😷 Unhealthy for some: 122 US AQI","💨 Air quality (annual)
🌱 Great: 41 US AQI","👌 Safety
Okay","👮‍♀️ Lack of crime*
Okay",None,"🎓 Education level*
Mediocre","💰 Income level*
Very high: $4,944 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Good","🍸 Nightlife
Okay","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Okay","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
981,"Marysville, WA","⭐️ Total score
2.83/5 (Rank #982)
198 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Too expensive: $4,461 / mo","📡 Internet
🏎 Fast: 50Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 A bit cold: 15°C (feels 14°C)","💦 Humidity (now)
💦 Damp: 93%","💨 Air quality (now)
🌱 Great: 2 US AQI","💨 Air quality (annual)
🌱 Great: 23 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Great","🎓 Education level*
High","💰 Income level*
Very high: $4,817 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Good","😄 Happiness*
Good","🍸 Nightlife
Okay","📶 Free WiFi in city
Good",None,None,None,"🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
982,Dongguan,"⭐️ Total score
2.83/5 (Rank #983)
213 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,599 / mo","📡 Internet
😡 Slow: 2Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 24°C (feels 24°C)","💦 Humidity (now)
😊 Comfy: 59%","💨 Air quality (now)
😷 Unhealthy for some: 112 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 102 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 5k ppl/km² (14x14m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Okay","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Bad"
983,Luoyang,"⭐️ Total score
2.83/5 (Rank #984)
205 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,290 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥶 A bit cold: 16°C (feels 17°C)","💦 Humidity (now)
😊 Comfy: 40%","💨 Air quality (now)
😷 Unhealthy for some: 102 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 133 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Bad","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
984,Lome,"⭐️ Total score
2.83/5 (Rank #985)
210 reviews","👍 Quality of life score
Bad","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,841 / mo","📡 Internet
😡 Slow: 3Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥵 Too hot: 31°C (feels 44°C)","💦 Humidity (now)
🥵 Sweaty: 90%","💨 Air quality (now)
🌱 Good: 63 US AQI",None,"👌 Safety
Okay","👮‍♀️ Lack of crime*
Okay","🤝 Lack of racism*
Bad","🎓 Education level*
Low","💰 Income level*
Very low: $49 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Good","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
985,"Boise, ID","⭐️ Total score
2.83/5 (Rank #986)
226 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
🧐 Pricey: $3,974 / mo","📡 Internet
🏎 Fast: 35Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥶 A bit cold: 16°C (feels 17°C)","💦 Humidity (now)
😊 Comfy: 62%","💨 Air quality (now)
😐 Moderate: 78 US AQI",None,"👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Good","🎓 Education level*
High","💰 Income level*
Very high: $4,817 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Good","🍸 Nightlife
Bad","📶 Free WiFi in city
Good","🖥 Places to work from
Okay","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Great","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
986,Huzhou,"⭐️ Total score
2.83/5 (Rank #987)
204 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,858 / mo","📡 Internet
😡 Slow: 2Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Nice: 19°C (feels 19°C)","💦 Humidity (now)
😊 Comfy: 69%","💨 Air quality (now)
😐 Moderate: 85 US AQI","💨 Air quality (annual)
😐 Moderate: 81 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Bad"
987,Jiangmen,"⭐️ Total score
2.83/5 (Rank #988)
206 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,365 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 23°C (feels 23°C)","💦 Humidity (now)
😊 Comfy: 70%","💨 Air quality (now)
😷 Unhealthy for some: 127 US AQI","💨 Air quality (annual)
😐 Moderate: 87 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Great","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Bad"
